Question,Answer
What is the Digital Agriculture Mission?,The Digital Agriculture Mission aims to create a robust digital agriculture ecosystem in the country to drive innovative
What are the main goals of the Digital Agriculture Mission?,The key objectives are: to create a robust farmer-centric digital ecosystem
How will the Digital Agriculture Mission benefit me as a farmer?,The mission will allow you to digitally identify and authenticate yourself to access benefits and services. This means less paperwork and fewer physical visits to government offices for things like availing schemes
What are the key components of the Digital Agriculture Mission?,The key components are (a) Digital Public Infrastructure (DPI) for Agriculture
What is the total budget for the Digital Agriculture Mission?,The Digital Agriculture Mission has a total approved project outlay of ₹2
How much of the mission's budget is the central government's share?,Out of the total ₹2
What is AgriStack?,AgriStack is a digital public good
What are the three foundational registries of AgriStack?,The three foundational registries are the Farmers' Registry
What is the Farmer's Registry?,The Farmer's Registry is a verified and accurate database of farmers managed by the States. It contains authenticated demographic details
How will my information in the Farmer's Registry be used?,The Aadhar-verified Farmer ID
Will I get a unique ID as a farmer?,Yes
What is a Digital Crop Survey (DCS)?,A Digital Crop Survey (DCS) is a system designed to collect information about the crops sown on each farmland plot using a mobile application directly from the field
Who will conduct the Digital Crop Survey?,The survey can be conducted by Government officials
How often will the Digital Crop Survey be conducted?,The survey will be conducted for each agricultural plot once per season (Kharif
What is Krishi-DSS?,Krishi-DSS
How can Krishi-DSS help me?,The information from Krishi-DSS can support crop map generation
When was Krishi-DSS launched?,Krishi-DSS was launched on August 16
What is the National Soil Mapping Programme (NSMP)?,The National Soil Mapping Programme is a project led by the Soil and Land Use Survey of India (SLUSI) to create a detailed inventory of soils at a village level on a 1:10
What kind of information will the soil maps provide?,The maps will show the distribution of different soil types and include details on soil properties like slope
What is DGCES?,DGCES stands for Digital General Crop Estimation Survey. It is a system that uses technology to re-engineer the traditional process of crop estimation surveys to improve the quality of data and accuracy of crop yield estimation. [cite: 629
What is a Crop Cutting Experiment (CCE)?,A Crop Cutting Experiment (CCE) is a method used to estimate crop yield. It involves randomly selecting a field
How is DGCES different from the old GCES?,Previously
Will I get paid for participating in a Crop Cutting Experiment (CCE) under DGCES?,The central government provides funds of ₹1000 per CCE to State Agricultural Statistical Authorities (SASAs). This money is intended for incentives to primary workers
How will I be trained for these new digital systems?,The government provides training for all new systems. For the Farmer Registry
Who can I contact if I need help with the Digital Crop Survey app?,States are required to establish a helpdesk to assist crop surveyors
What is the funding pattern for centrally sponsored components like the Digital Crop Survey?,For most states
What is a 'bucket' in the Farmer Registry process?,A 'bucket' is a virtual pool of all the land plots owned by a single farmer in a village. This makes it easier for you to claim all your lands at once instead of having to identify each one separately. [cite: 241
How is my name matched for the land bucketing process?,The bucketing tool uses fuzzy logic and a Name Match tool developed by the Centre for Development of Advanced Computing (CDAC) to match farmer names. [cite: 243]
What data is needed from the states to start a Digital Crop Survey (DCS)?,States must have geo-referenced village maps and digitized land records (Record of Rights or RoR) before they can conduct a digital crop survey. [cite: 374]
How will the government ensure the crop data collected is accurate?,The mobile app used for the survey uses GPS to ensure the surveyor is within the designated land parcel. The data captured includes geo-tagged and time-stamped photographs of the crop. Supervisors also review the survey details. [cite: 383
What are Geo-Referenced Village Maps (GRVM)?,GRVMs are cadastral (revenue) maps that are digitally encoded with geographic information system (GIS) technology. They are essential for conducting accurate digital crop surveys. [cite: 324
Who is responsible for creating Geo-Referenced Village Maps?,The Department of Land Resources (DoLR)
Can states use their own mobile apps for crop surveys?,Yes
What is the timeline for the National Soil Mapping Programme?,The plan is to cover the entire agricultural land of the country
How will the government spread awareness about the Digital Agriculture Mission?,The government plans to use SMS campaigns
What is a State Project Management Unit (SPMU)?,An SPMU is a State Project Management Unit set up in states to act as a bridge between the Centre and the State teams
Who is the nodal agency for the National Soil Mapping Programme?,The Soil and Land Use Survey of India (SLUSI)
Are the CCEs for crop insurance (PMFBY) and DGCES the same?,No
What is the role of MNCFC in the Digital Agriculture Mission?,MNCFC (Mahalanobis National Crop Forecast Centre) is responsible for estimating crop acreage and production using satellite technology (FASAL project)
How does the government decide how much funding to give a state for the Digital Crop Survey?,For DCS
How will the Farmer Registry stay up-to-date if I sell my land?,A mechanism will be established for the automatic updation of the Farmer registry with mutation updates (changes in land records) done in the State's Record of Rights (RoR). This ensures the registry remains current and correct. [cite: 313
How long does a Digital Crop Survey (DCS) take to complete in a season?,The crop survey is a time-limited operation that must be completed within about 45 days from its start. It generally begins in a village about one month after the crop is sown and should be finished about 15 days before harvest. [cite: 355
Will details about tenant farmers be included in the registry?,Yes
How many CCEs will be supervised by NSSO and SASAs respectively each year?,Each year
What is the recommended method for training officials?,The guideline document recommends conducting the required training in a classroom setting
What is 'Digital Krishi Diwas'?,Digital Krishi Diwas' is a planned event to be celebrated pan-India with the support of State Governments to showcase the benefits and success stories of the Digital Agriculture Mission through events
Where does a state get funds to set up the Project Monitoring Unit (PMU) for the Farmer's Registry?,The State Governments are to use the administrative fund of the Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) scheme to set up a Project Monitoring Unit to build the Farmers' Registry. [cite: 728]
What was the 'NeGP-A' scheme?,NeGP-A stands for the National e-Governance Plan in Agriculture. This former scheme
Can academic institutes get funding under this mission?,Yes
How often should the State-level Agri Stack Implementation Committee meet?,This committee
Will I be sent advisories on my phone?,Yes
Which components of the mission are fully funded by the central government?,The components implemented as central sector components are 100% funded by the central government. These include AgriStack development
What is the funding share for North-Eastern and Himalayan States?,For North-Eastern and Himalayan States
What is the first step a state must take to build a Farmer Registry?,The state should create an overarching mechanism
What is RoR data?,RoR stands for Record of Rights
Why is sharing RoR data important for AgriStack?,Creating a Farmers Registry requires sharing Records of Rights (RoR) data through APIs to link farmers to their correct land holdings. [cite: 211]
What is a Farm ID?,A Farm ID
Is the bucketing process for the Farmer Registry easy to perform?,No
How are draft Farmer IDs created quickly?,To shorten the process
What are the main objectives of the Digital Crop Survey (DCS)?,The objectives of DCS are to provide reliable data for policy-making
What are the key pre-requisites for a state to start a Digital Crop Survey?,A state must submit a proposal
What data will my state share with the Centre from the Digital Crop Survey?,As per the MoU
Who is the Single Point of Contact (SPOC) for the DCS in a state?,The Principal Secretary or Director of Agriculture/Revenue
Can states use their own app for the crop survey?,Yes
What support does the Central Government provide for DCS training?,The Central Government provides a user manual in English
What is the role of the Central Program Management Unit (CPMU) Team?,The CPMU Team coordinates between the technical support team
How is the State Project Management Unit (SPMU) funded?,Funding provision for setting up the SPMU is provided under the administrative funds of the PM KISAN scheme. [cite: 427]
What is the role of the DCS Helpdesk?,The Help Desk is designed to provide timely information and resolve issues for farmers
